Broad_ID,Name,SMILES,Pred_Score,Mean_Inhibition,ClinTox (low = less predicted toxicity),,,,,,
BRD-A20839672-003-01-5,cefmenoxime,CO\N=C(\C(=O)NC1C2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O)c1csc(N)n1,0.967200485,0.04505,0.001421768,,,,,,
BRD-A61633223-001-02-8,ulifloxacin,CC1Sc2c(C(O)=O)c(=O)c3cc(F)c(cc3n12)N1CCNCC1,0.957036886,0.0504,0.95826745,,,,,,
BRD-K02275692-300-02-6,cefotiam,CN(C)CCn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1csc(N)n1)C2=O)C(O)=O,0.952527395,0.04495,0.229828611,,,,,,
BRD-K96734425-304-01-7,ceftriaxone,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSc3nc(=O)c(O)nn3C)=C(N2C1=O)C(O)=O)c1csc(N)n1,0.942159757,0.0425,0.011146126,,,,,,
BRD-A47790386-001-03-6,balofloxacin,CNC1CCCN(C1)c1c(F)cc2c(c1OC)n(cc(C(O)=O)c2=O)C1CC1,0.931109279,0.04115,0.927146554,,,,,,
BRD-K77073709-435-01-2,cefminox,CO[C@]1(NC(=O)CSC[C@@H](N)C(O)=O)[C@H]2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O,0.931014076,0.7304,0.281642884,,,,,,
BRD-K45916615-066-02-5,danofloxacin,CN1C[C@@H]2C[C@H]1CN2c1cc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1,0.928766922,0.0452,0.998927176,,,,,,
BRD-K10196357-003-02-0,besifloxacin,N[C@@H]1CCCCN(C1)c1c(F)cc2c(c1Cl)n(cc(C(O)=O)c2=O)C1CC1,0.928699717,0.041,0.950829506,,,,,,
BRD-K99750640-236-19-5,cefazolin,Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn2cnnn2)C3=O)C(O)=O)s1,0.927870697,0.5969,0.002622501,,,,,,
BRD-K22641081-304-01-8,cefodizime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSc3nc(C)c(CC(O)=O)s3)=C(N2C1=O)C(O)=O)c1csc(N)n1,0.923210067,0.04205,0.001982198,,,,,,
BRD-K00494077-066-01-9,trovafloxacin,N[C@H]1[C@@H]2CN(C[C@H]12)c1nc2n(cc(C(O)=O)c(=O)c2cc1F)-c1ccc(F)cc1F,0.921311828,0.0422,0.975778103,,,,,,
BRD-K56542719-065-01-4,cefpirome,CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(C[n+]3cccc4CCCc34)=C(N2C1=O)C(O)=O)c1csc(N)n1,0.916152209,0.0469,7.92E-06,,,,,,
BRD-A76661185-300-01-6,cefotiam-cilexetil,CC(OC(=O)OC1CCCCC1)OC(=O)C1=C(CSc2nnnn2CCN(C)C)CSC2C(NC(=O)Cc3csc(N)n3)C(=O)N12,0.915957323,0.04435,0.007502751,,,,,,
BRD-K10836013-001-01-3,sitafloxacin,N[C@@H]1CN(CC11CC1)c1c(F)cc2c(c1Cl)n(cc(C(O)=O)c2=O)[C@@H]1C[C@@H]1F,0.908551912,0.0407,0.967323601,,,,,,
BRD-K04301924-236-01-6,ceftizoxim,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O)c1csc(N)n1,0.897801162,0.04475,0.060883544,,,,,,
BRD-K48470486-236-12-4,cefmetazole,CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O,0.896625923,0.77525,0.001163892,,,,,,
